o,d,flow_in,flow_out
20,511,17,22
20,512,28,33
20,514,75,100
20,516,460,501
20,518,563,597
20,519,358,391
20,521,254,268
20,522,2,2
20,524,61,65
20,525,134,139
20,526,270,280
20,527,338,355
20,528,1972,2042
20,832,4697,4769
20,856,6207,6918
20,857,3325,5312
20,859,1406,2959
20,860,96,439
20,862,345,2009
20,863,7433,7719
20,877,16823,27163
20,879,494,1275
20,882,626,1255
20,883,260,526
20,884,213,1104
20,885,27,71
20,886,171,396
20,887,677,2185
20,888,27,121
20,889,223,664
20,890,288,1586
20,892,3033,3072
20,894,2214,2284
20,895,1833,1870
20,896,12169,12313
20,900,98,228
20,901,28,45
20,902,13,32
20,903,65,76
20,906,112,134
20,907,303,308
20,908,35,39
20,909,20,25
20,910,47,54
20,911,115,118
20,913,300,1181
20,914,3,16
20,916,3,6
20,917,442,608
20,918,333,378
20,919,146,177
20,920,317,348
20,921,647,810
20,922,353,394
20,923,395,527
20,924,131,138
20,926,63,64
20,927,22,22
20,928,24,31
20,929,250,273
20,930,167,178
20,931,467,559
20,932,543,678
20,933,15,16
20,934,51,57
20,936,34,42
20,937,55,58
20,938,721,826
20,939,13,36
20,940,89,132
20,941,128,130
20,942,4640,4713
20,946,27,29
21,8,34512,38945
21,11,12904,13351
21,12,10832,11297
21,13,16222,17187
21,14,7154,7458
21,15,15562,16306
21,19,5,5
21,20,4996,5101
21,21,1681,1762
21,22,4,5
21,23,15626,16534
21,24,33,197
21,25,1869,2000
21,27,638,669
21,28,859,913
21,49,13,14
21,50,61,63
21,51,36,39
21,52,264,271
21,53,1615,1718
21,54,2005,2100
21,55,9805,10252
21,56,144,167
21,58,145,167
21,60,396,410
21,61,176,182
21,63,150,164
21,65,41,43
21,66,70,73
21,67,120,132
21,68,129362,201636
21,70,12349,25782
21,98,14937,15316
21,99,6931,7351
21,102,39,44
21,103,4889,18823
21,127,529,558
21,128,937,952
21,129,791,824
21,130,782,804
21,132,5112,5194
21,133,101,104
21,480,9354,9546
21,481,5620,6065
21,483,33821,36838
21,511,38906,45226
21,512,28661,33135
21,514,11570,14526
21,516,20276,21907
21,518,38227,41131
21,519,22309,24469
21,521,12911,14238
21,522,28,30
21,524,2451,2650
21,525,5141,5337
21,526,5986,6517
21,527,5218,5457
21,528,27430,28804
21,832,807,839
21,856,605,690
21,857,796,1361
21,859,756,1940
21,860,65,282
21,862,208,1601
21,863,9483,10146
21,877,2367,4552
21,879,663,2255
21,882,4361,9159
21,883,638,1800
21,884,486,2870
21,885,30,179
21,886,66,256
21,887,824,1993
21,888,43,198
21,889,186,553
21,890,514,5364
21,892,460,486
21,894,828,880
21,895,964,1034
21,896,9311,9910
21,900,4203,8652
21,901,765,1082
21,902,345,720
21,903,1058,1405
21,906,2764,3210
21,907,2463,2636
21,908,1214,1553
21,909,1253,1589
21,910,6654,8121
21,911,14440,14920
21,913,1751,4795
21,914,3998,7224
21,915,284,795
21,916,10686,23683
21,917,3414,4848
21,918,1835,2173
21,919,1061,1276
21,920,4311,4881
21,921,11462,14294
21,922,5351,6276
21,923,5264,7346
21,924,977,1071
21,926,275,301
21,927,82,98
21,928,1118,1378
21,929,6973,7761
21,930,5791,6462
21,931,12267,15107
21,932,18357,23647
21,933,54,65
21,934,335,393
21,936,186,223
21,937,219,246
21,938,3134,3754
21,939,155,326
21,940,3840,6066
21,941,38,42
21,942,3231,3497
21,946,480,495
22,8,2,2
22,11,6,7
22,12,13,14
22,13,12,13
22,14,7,7
22,19,17,17
22,20,119,119
22,21,4,4
22,22,2787,2808
22,23,21308,21740
22,24,1244,2351
22,25,48033,48435
22,27,6160,6206
22,28,16624,16716
