,ROUTE_NAME,STATION_NAME,LONGITUDE,LATITUDE,ID
1483,14号线,望京南,116.47102609999999,39.98668359,1483
1485,14号线,阜通,116.46434529999999,39.9906066,1485
1487,14号线,望京,116.461481,39.99751005,1487
1489,14号线,东湖渠,116.4607898,40.01242997,1489
1491,14号线,来广营,116.4610861,40.02241912,1491
1493,14号线,善各庄,116.4699057,40.02861997,1493
1525,15号线,清华东路西口,116.3321773,39.99900758,1525
1527,15号线,六道口,116.3606809,40.00014998,1527
1529,15号线,北沙滩,116.3714547,40.00011885,1529
1531,15号线,奥林匹克公园,116.38545549999999,40.00065325,825
1533,15号线,安立路,116.4018587,40.00100925,1533
1537,15号线,关庄,116.42354590000001,39.99969618,1537
1539,15号线,望京西,116.4421466,39.99478881,1343
1541,15号线,望京,116.46305559999999,39.99680587,1487
1545,15号线,崔各庄,116.4857622,40.02161263,1545
1547,15号线,马泉营,116.49695690000001,40.03330665,1547
1549,15号线,孙河,116.52631979999998,40.0414278,1549
1551,15号线,国展,116.5482027,40.0688486,1551
1553,15号线,花梨坎,116.55006159999999,40.08385088,1553
1555,15号线,后沙峪,116.5558471,40.11371908,1555
1557,15号线,南法信,116.6027659,40.12794783,1557
1559,15号线,石门,116.63368500000001,40.12930159,1559
1561,15号线,顺义,116.64955490000001,40.13013421,1561
1563,15号线,俸伯,116.6758027,40.13223701,1563
9701,八通线,四惠,116.4904142,39.90790300000001,124
9702,八通线,四惠东,116.51095020000001,39.90788335,125
9703,八通线,高碑店,116.52650020000002,39.90845224,9703
9704,八通线,传媒大学,116.5494063,39.90905686,9704
9705,八通线,双桥,116.57164440000001,39.9099427,9705
9706,八通线,管庄,116.5936473,39.909175299999994,9706
9707,八通线,八里桥,116.61383729999999,39.90627221,9707
9708,八通线,通州北苑,116.63194159999999,39.90384534,9708
9709,八通线,果园,116.6408376,39.89325478,9709
9710,八通线,九棵树,116.6519499,39.89000134,9710
9711,八通线,梨园,116.6635452,39.88340689,9711
9712,八通线,临河里,116.6736601,39.87547417,9712
9713,八通线,土桥,116.6810178,39.87182904,9713
9429,昌平线,南邵,116.27909939999999,40.20418661,9429
9431,昌平线,沙河高教园,116.2729447,40.16240628,9431
9433,昌平线,沙河,116.2819274,40.14540528,9433
9435,昌平线,巩华城,116.2864912,40.12869159,9435
9437,昌平线,朱辛庄,116.30457460000001,40.10182891,805
9439,昌平线,生命科学园,116.2831461,40.09083712,9439
9441,昌平线,西二旗,116.29850659999998,40.0508816,1331
9319,大兴线,公益西桥,116.36577539999999,39.83399503,467
9321,大兴线,新宫,116.3607086,39.80970404,9321
9323,大兴线,西红门,116.3240477,39.78743059,9323
9325,大兴线,高米店北,116.3257064,39.77537163,9325
9327,大兴线,高米店南,116.3276044,39.76264753,9327
9329,大兴线,枣园,116.32815590000001,39.7527256,9329
9331,大兴线,清源路,116.3286125,39.74055148,9331
9333,大兴线,黄村西大街,116.3288898,39.73000648,9333
9335,大兴线,黄村火车站,116.32786840000001,39.71986824,9335
9337,大兴线,义和庄,116.31588190000001,39.71014323,9337
9339,大兴线,生物医药基地,116.3181656,39.6854517,9339
9341,大兴线,天宫院,116.3159733,39.66662405,9341
9521,房山线,郭公庄,116.29662009999998,39.81199012,945
9523,房山线,大葆台,116.2876149,39.805315500000006,9523
9525,房山线,稻田,116.21322909999999,39.79117232,9525
9527,房山线,长阳,116.2084112,39.76129238,9527
9529,房山线,篱笆房,116.1857023,39.75829826,9529
9531,房山线,广阳城,116.18045049999999,39.74555324,9531
9533,房山线,良乡大学城北,116.1800729,39.73015858,9533
9535,房山线,良乡大学城,116.1743061,39.720769,9535
9537,房山线,良乡大学城西,116.1548703,39.72025988,9537
9539,房山线,良乡南关,116.14184640000002,39.72092988,9539
9541,房山线,苏庄,116.11742079999999,39.72120609,9541
9821,机场快轨,东直门,116.4276075,39.9409781,214
9823,机场快轨,三元桥,116.453906,39.96204437,1027
9825,机场快轨,T2航站楼,116.5864598,40.07922234,9825
9827,机场快轨,T3航站楼,116.60872830000001,40.05380354,9827
9621,亦庄线,宋家庄,116.4228216,39.84346134,565
9623,亦庄线,肖村,116.44355230000001,39.83285405,9623
9625,亦庄线,小红门,116.4547004,39.82649444,9625
9627,亦庄线,旧宫,116.45633329999998,39.80604854,9627
9629,亦庄线,亦庄桥,116.47624909999999,39.80219532,9629
9631,亦庄线,亦庄文化园,116.48529350000001,39.8060185,9631
9633,亦庄线,万源街,116.49998319999999,39.80284941,9633
9635,亦庄线,荣京东街,116.5087216,39.79242124,9635
9637,亦庄线,荣昌东街,116.5175033,39.78210965,9637
9639,亦庄线,同济南路,116.535724,39.77189856,9639
9641,亦庄线,经海路,116.55946840000001,39.7840328,9641
9643,亦庄线,次渠南,116.57703479999999,39.79397826,9643
9645,亦庄线,次渠,116.5857051,39.80250264,9645
