,name,route_name,station,route,latitude,longitude,id
9039,角门西,10号线,39,90,39.84448504,116.36534009999998,465
9041,草桥,10号线,41,90,39.84418314,116.34664879999998,9041
9043,纪家庙,10号线,43,90,39.84243099,116.3284392,9043
9045,首经贸,10号线,45,90,39.84269473,116.3150122,9045
9047,丰台站,10号线,47,90,39.84578739,116.3005049,9047
9049,泥洼,10号线,49,90,39.85371611,116.29953640000001,9049
9051,西局,10号线,51,90,39.86538063,116.29827240000002,9051
9053,六里桥,10号线,53,90,39.87974044,116.29741299999999,933
9055,莲花桥,10号线,55,90,39.89407619,116.30301920000001,9055
9057,公主坟,10号线,57,90,39.90553008,116.30417779999999,110
9059,西钓鱼台,10号线,59,90,39.92106139,116.2915518,9059
9061,慈寿寺,10号线,61,90,39.93014935,116.29019469999999,623
9063,车道沟,10号线,63,90,39.94540068,116.28935849999999,9063
9065,长春桥,10号线,65,90,39.95586316,116.28892250000001,9065
9067,火器营,10号线,67,90,39.964572600000004,116.28315570000001,9067
9069,巴沟,10号线,69,90,39.97014763,116.2802882,1001
1321,西直门,13号线,21,13,39.93912106,116.3487654,201
1323,大钟寺,13号线,23,13,39.96559055,116.33927949999999,1323
1325,知春路,13号线,25,13,39.97514079,116.3336389,1009
1327,五道口,13号线,27,13,39.99050306,116.3316982,1327
1329,上地,13号线,29,13,40.03162468,116.31319620000001,1329
1331,西二旗,13号线,31,13,40.0508816,116.29850659999998,1331
1333,龙泽,13号线,33,13,40.06912791,116.3135699,1333
1335,回龙观,13号线,35,13,40.0688322,116.32919840000002,1335
1337,霍营,13号线,37,13,40.06865998,116.3527497,813
1339,立水桥,13号线,39,13,40.04963732,116.40619170000001,527
1341,北苑,13号线,41,13,40.04119002,116.4277429,1341
1343,望京西,13号线,43,13,39.99411617,116.44086409999998,1343
1345,芍药居,13号线,45,13,39.97650759,116.4294535,1023
1347,光熙门,13号线,47,13,39.96932083,116.4258378,1347
1349,柳芳,13号线,49,13,39.95670492,116.42618909999999,1349
1351,东直门,13号线,51,13,39.93974713,116.42819109999998,214
1421,张郭庄,14号线,21,14,39.85741904,116.1840061,1421
1423,园博园,14号线,23,14,39.86185835,116.2081861,1423
1425,大瓦窑,14号线,25,14,39.86562687,116.2305882,1425
1427,郭庄子,14号线,27,14,39.86550321,116.2474311,1427
1429,大井,14号线,29,14,39.86327173,116.27174099999999,1429
